T_K,B2V_LJ_A3mol, B2V_SW_A3mol, B2V_HS_A3mol,B2V_LJ_cm3mol, B2V_SW_cm3mol, B2V_HS_cm3mol
1.000000000000000000e+02,-1.609814983902246896e+26,-2.084483924250929763e+26,4.938475327929690809e+25,-1.609814983902246865e+02,-2.084483924250929476e+02,4.938475327929690195e+01
1.070707070707070727e+02,-1.429778257703826988e+26,-1.807480800809885834e+26,4.938475327929690809e+25,-1.429778257703826796e+02,-1.807480800809885579e+02,4.938475327929690195e+01
1.141414141414141454e+02,-1.278877780383636446e+26,-1.581642887032463645e+26,4.938475327929690809e+25,-1.278877780383636349e+02,-1.581642887032463420e+02,4.938475327929690195e+01
1.212121212121212182e+02,-1.150638943094465539e+26,-1.394382348043008976e+26,4.938475327929690809e+25,-1.150638943094465390e+02,-1.394382348043008903e+02,4.938475327929690195e+01
1.282828282828282909e+02,-1.040363648284582573e+26,-1.236849549448007684e+26,4.938475327929690809e+25,-1.040363648284582467e+02,-1.236849549448007650e+02,4.938475327929690195e+01
1.353535353535353636e+02,-9.445625552521823020e+25,-1.102660363531836990e+26,4.938475327929690809e+25,-9.445625552521822499e+01,-1.102660363531836936e+02,4.938475327929690195e+01
1.424242424242424363e+02,-8.605912293531454630e+25,-9.871048732866835866e+25,4.938475327929690809e+25,-8.605912293531453372e+01,-9.871048732866834996e+01,4.938475327929690195e+01
1.494949494949494806e+02,-7.864098444472172284e+25,-8.866393624321551571e+25,4.938475327929690809e+25,-7.864098444472172389e+01,-8.866393624321550249e+01,4.938475327929690195e+01
1.565656565656565817e+02,-7.204202488418301505e+25,-7.985508759804958966e+25,4.938475327929690809e+25,-7.204202488418300732e+01,-7.985508759804957890e+01,4.938475327929690195e+01
1.636363636363636260e+02,-6.613528902217791457e+25,-7.207301559417384781e+25,4.938475327929690809e+25,-6.613528902217791483e+01,-7.207301559417383885e+01,4.938475327929690195e+01
1.707070707070707272e+02,-6.081867047640993933e+25,-6.515144997578987737e+25,4.938475327929690809e+25,-6.081867047640993462e+01,-6.515144997578987329e+01,4.938475327929690195e+01
1.777777777777777715e+02,-5.600913024010528887e+25,-5.895768329775158290e+25,4.938475327929690809e+25,-5.600913024010528574e+01,-5.895768329775157923e+01,4.938475327929690195e+01
1.848484848484848442e+02,-5.163845437960932401e+25,-5.338459949342709044e+25,4.938475327929690809e+25,-5.163845437960932117e+01,-5.338459949342708910e+01,4.938475327929690195e+01
1.919191919191919169e+02,-4.765009402081532157e+25,-4.834485217819162853e+25,4.938475327929690809e+25,-4.765009402081531675e+01,-4.834485217819162273e+01,4.938475327929690195e+01
1.989898989898989896e+02,-4.399677917185747037e+25,-4.376655003663303962e+25,4.938475327929690809e+25,-4.399677917185746878e+01,-4.376655003663303489e+01,4.938475327929690195e+01
2.060606060606060623e+02,-4.063869431118267380e+25,-3.959001597485963626e+25,4.938475327929690809e+25,-4.063869431118266817e+01,-3.959001597485963231e+01,4.938475327929690195e+01
2.131313131313131350e+02,-3.754206749327125837e+25,-3.576532270545248082e+25,4.938475327929690809e+25,-3.754206749327125436e+01,-3.576532270545247627e+01,4.938475327929690195e+01
2.202020202020202078e+02,-3.467806775110963254e+25,-3.225039744246109217e+25,4.938475327929690809e+25,-3.467806775110963002e+01,-3.225039744246109308e+01,4.938475327929690195e+01
2.272727272727272805e+02,-3.202193506180982030e+25,-2.900954899571193025e+25,4.938475327929690809e+25,-3.202193506180982041e+01,-2.900954899571192769e+01,4.938475327929690195e+01
2.343434343434343532e+02,-2.955228765803664269e+25,-2.601231202132633028e+25,4.938475327929690809e+25,-2.955228765803664004e+01,-2.601231202132632703e+01,4.938475327929690195e+01
2.414141414141414259e+02,-2.725056594318418628e+25,-2.323253197408941545e+25,4.938475327929690809e+25,-2.725056594318418490e+01,-2.323253197408941517e+01,4.938475327929690195e+01
2.484848484848484986e+02,-2.510058261430313690e+25,-2.064763456703400870e+25,4.938475327929690809e+25,-2.510058261430313564e+01,-2.064763456703400735e+01,4.938475327929690195e+01
2.555555555555555713e+02,-2.308815608091457253e+25,-1.823803798221066147e+25,4.938475327929690809e+25,-2.308815608091457250e+01,-1.823803798221065975e+01,4.938475327929690195e+01
2.626262626262626441e+02,-2.120080974265540898e+25,-1.598667648838803309e+25,4.938475327929690809e+25,-2.120080974265540874e+01,-1.598667648838803146e+01,4.938475327929690195e+01
2.696969696969696884e+02,-1.942752373571134820e+25,-1.387861171234787300e+25,4.938475327929690809e+25,-1.942752373571134683e+01,-1.387861171234787250e+01,4.938475327929690195e+01
2.767676767676767895e+02,-1.775852877894738442e+25,-1.190071340195760635e+25,4.938475327929690809e+25,-1.775852877894738313e+01,-1.190071340195760463e+01,4.938475327929690195e+01
