T_K,Z_iso,Z_soc,Z_cfs,U_iso_eV,F_iso_eV,S_iso_eV_perK,U_soc_eV,F_soc_eV,S_soc_eV_perK,U_cfs_eV,F_cfs_eV,S_cfs_eV_perK,U_iso_J,F_iso_J,S_iso_J_perK,U_soc_J,F_soc_J,S_soc_J_perK,U_cfs_J,F_cfs_J,S_cfs_J_perK
300.0,14.0,6.000158232982474,4.1877437553113195,0.0,-0.06822490952160479,0.00022741636507201594,7.384011116422468e-06,-0.04632124718000929,0.00015442877063708569,0.0038923574414700094,-0.037024254450196824,0.00013638870630555612,0.0,-1.093083558922793e-20,3.6436118630759764e-23,1.1830490075928331e-24,-7.421481988954926e-21,2.4742216793208396e-23,6.236244143899271e-22,-5.931939537137586e-21,2.1851879838425046e-23
308.5427135678392,14.0,6.00021356610364,4.2061230133303225,0.0,-0.07016766238905418,0.000227416365072016,9.966063434323565e-06,-0.04764052286254881,0.00015443725238225802,0.004292416197449809,-0.038194981782454895,0.00013770345599350221,0.0,-1.1242098914214322e-20,3.6436118630759776e-23,1.5967393967435008e-24,-7.632853256191849e-21,2.474357571860146e-23,6.877208934957214e-22,-6.11951073479049e-21,2.2062525961383648e-23
317.0854271356784,14.0,6.000283628717468,4.225338590214769,0.0,-0.07211041525650357,0.000227416365072016,1.3235381159469175e-05,-0.04895987919602243,0.00015444769890426621,0.004711059360317067,-0.039377043764302025,0.00013904171983833912,0.0,-1.1553362239200712e-20,3.6436118630759776e-23,2.120541843578534e-24,-7.844237445132985e-21,2.474524943594827e-23,7.547949228486991e-22,-6.3088979435160105e-21,2.227693946761612e-23
325.6281407035176,14.0,6.000371110243838,4.245369412171502,0.0,-0.07405316812395295,0.000227416365072016,1.7317406934604452e-05,-0.050279334176120384,0.00015446039606524604,0.005147492904166347,-0.040570625306859065,0.00014039977660484655,0.0,-1.1864625564187102e-20,3.6436118630759776e-23,2.7745544752092816e-24,-8.055637439005771e-21,2.4747283745412272e-23,8.247192854736122e-22,-6.500130789341867e-21,2.2494524149510497e-23
334.1708542713568,14.0,6.000478945801628,4.266192909050637,0.0,-0.07599592099140233,0.00022741636507201597,2.2349020081116385e-05,-0.051598908295794416,0.00015447564219337189,0.0056008636465370056,-0.041775879982381955,0.00014177401476924618,0.0,-1.2175888889173492e-20,3.643611863075977e-23,3.580707776676146e-24,-8.267056521143057e-21,2.4749726444436492e-23,8.973572864701625e-22,-6.6932338772560696e-21,2.2714701377165712e-23
342.713567839196,14.0,6.0006103049204125,4.287785251742304,0.0,-0.07793867385885171,0.00022741636507201597,2.847799957537285e-05,-0.05291862463968988,0.00015449374523773877,0.006070270788521795,-0.0429929310631242,0.00014316095554952422,0.0,-1.2487152214159882e-20,3.643611863075977e-23,4.56267855027243e-24,-8.47849839011278e-21,2.4752626871905384e-23,9.725646019422374e-22,-6.888226957651037e-21,2.2936913788256033e-23
351.2562814070352,14.0,6.000768577037247,4.310121575134897,0.0,-0.0798814267263011,0.00022741636507201597,3.5862334577056615e-05,-0.05423850895383763,0.00015451501983397028,0.006554776894998327,-0.04422187273774781,0.00014455727148664492,0.0,-1.2798415539146272e-20,3.643611863075977e-23,5.745779450005038e-24,-8.689967170883843e-21,2.4756035438003372e-23,1.050191038224939e-21,-7.085125121214114e-21,2.3160628265069694e-23
359.79899497487435,14.0,6.000957354232714,4.333176185759206,0.0,-0.08182417959375048,0.000227416365072016,4.4669403452924005e-05,-0.05555858969015532,0.00015453978435234694,0.007053418193038386,-0.04546277146850571,0.00014595980087496197,0.0,-1.3109678864132661e-20,3.6436118630759776e-23,7.156827446699375e-24,-8.901467421956015e-21,2.4760003151272907e-23,1.1300821818716603e-21,-7.28393901637217e-21,2.3385338246515682e-23
368.34170854271355,14.0,6.001180411685441,4.35692275364632,0.0,-0.08376693246119984,0.00022741636507201597,5.507504344978519e-05,-0.05687889802588583,0.0001545683579917843,0.007565214102456171,-0.046715667455195405,0.00014736555838980442,0.0,-1.342094218911905e-20,3.643611863075977e-23,8.823994773178058e-24,-9.1130041384743e-21,2.4764581153018396e-23,1.2120809266162559e-21,-7.484675083842831e-21,2.3610565430850728e-23
376.88442211055275,14.0,6.0014416863299465,4.38133448827054,0.0,-0.08570968532864923,0.00022741636507201594,6.726253348497807e-05,-0.058199467858601694,0.00015460105797366998,0.008089175943826868,-0.04798057617499144,0.00014877174228859793,0.0,-1.373220551410544e-20,3.6436118630759764e-23,1.0776645949327445e-23,-9.324582751428565e-21,2.476982026770934e-23,1.2960288685514304e-21,-7.687335803342837e-21,2.3835860929426128e-23
